Model,Feature Selection Method,ACC,AUC,MCC,F1,Number of Features,Time,MeasuringFS
RandomForest,Mrmr,0.5890625,0.5865987636433884,0.18142924235059182,0.6014246665489609,100,30619.677407741547,0
RandomForest,Mrmr,0.5803125,0.5776068772336521,0.16204860915973285,0.5948358105376625,5,2154.814202308655,0
RandomForest,Mrmr,0.5984375,0.5964702018738529,0.2010386735073296,0.6106647785941014,10,3626.7691626548767,0
RandomForest,Mrmr,0.58875,0.5863802762484304,0.18200479067585104,0.5981548060441333,20,6610.870060443878,0
RandomForest,Mrmr,0.6378125,0.6343490775620594,0.2732498895972647,0.6678999885972752,5,2152.67987203598,0
RandomForest,Mrmr,0.634375,0.6309777842171351,0.26530654523389363,0.6634405077764259,20,6271.877703428268,0
RandomForest,Mrmr,0.64125,0.6381896068772338,0.2795515082306967,0.6691704995127629,10,3365.754107952118,0
RandomForest,Mrmr,0.6396875,0.6356975755819569,0.27677208988506186,0.6724939235589811,40,11685.010918855667,0
RandomForest,Mrmr,0.631875,0.6282351975272868,0.26133864120197003,0.6627741289998879,60,17147.183047771454,0
RandomForest,Mrmr,0.636875,0.6331573456968994,0.270503511842037,0.6672424152653853,80,20841.93678212166,-2.0
RandomForest,Mrmr,0.6440625,0.6401831353230948,0.2855729900913365,0.6733930492455401,100,25708.776559829712,-2.0
RandomForest,Mrmr,0.6290625,0.6257249106539168,0.2557276405343773,0.6590075510137089,140,35872.666900634766,-2.0
